Benchmark                                                Mode   Samples         Mean   Mean error    Units
c.g.a.r.DefaultRTree.M10.createIndex1k                  thrpt        10      719.417        2.057    ops/s
c.g.a.r.DefaultRTree.M10.createIndexGreek               thrpt        10       11.395        0.029    ops/s
c.g.a.r.DefaultRTree.M10.deleteBatch1k                  thrpt        10      945.702        1.548    ops/s
c.g.a.r.DefaultRTree.M10.deleteBatchGreek               thrpt        10       12.903        0.061    ops/s
c.g.a.r.DefaultRTree.M10.deleteOne1k                    thrpt        10   986158.705     5580.438    ops/s
c.g.a.r.DefaultRTree.M10.deleteOneGreek                 thrpt        10   477862.020     3473.075    ops/s
c.g.a.r.DefaultRTree.M10.insertBatch1k                  thrpt        10      958.917        2.251    ops/s
c.g.a.r.DefaultRTree.M10.insertBatchGreek               thrpt        10       18.230        0.110    ops/s
c.g.a.r.DefaultRTree.M10.insertOne1k                    thrpt        10   187065.733      636.532    ops/s
c.g.a.r.DefaultRTree.M10.insertOneGreek                 thrpt        10   590899.677     1025.698    ops/s
c.g.a.r.DefaultRTree.M10.searchNearest1k                thrpt        10   880787.457     3212.797    ops/s
c.g.a.r.DefaultRTree.M10.searchNearestGreek             thrpt        10    11029.585       34.180    ops/s
c.g.a.r.DefaultRTree.M10.searchOne1k                    thrpt        10   737257.560     1384.433    ops/s
c.g.a.r.DefaultRTree.M10.searchOneBackpressure1k        thrpt        10   156136.060     1413.775    ops/s
c.g.a.r.DefaultRTree.M10.searchOneBackpressureGreek     thrpt        10   118278.557     1220.491    ops/s
c.g.a.r.DefaultRTree.M10.searchOneGreek                 thrpt        10   756240.623     1142.002    ops/s
c.g.a.r.DefaultRTree.M128.createIndex1k                 thrpt        10      244.705        1.008    ops/s
c.g.a.r.DefaultRTree.M128.createIndexGreek              thrpt        10        5.222        0.017    ops/s
c.g.a.r.DefaultRTree.M128.deleteBatch1k                 thrpt        10      421.452        2.231    ops/s
c.g.a.r.DefaultRTree.M128.deleteBatchGreek              thrpt        10        5.762        0.029    ops/s
c.g.a.r.DefaultRTree.M128.deleteOne1k                   thrpt        10   817355.057     2518.959    ops/s
c.g.a.r.DefaultRTree.M128.deleteOneGreek                thrpt        10   369552.542      874.448    ops/s
c.g.a.r.DefaultRTree.M128.insertBatch1k                 thrpt        10      501.218        1.730    ops/s
c.g.a.r.DefaultRTree.M128.insertBatchGreek              thrpt        10        6.520        0.020    ops/s
c.g.a.r.DefaultRTree.M128.insertOne1k                   thrpt        10   929994.577     3260.016    ops/s
c.g.a.r.DefaultRTree.M128.insertOneGreek                thrpt        10   201019.610      486.944    ops/s
c.g.a.r.DefaultRTree.M128.searchNearest1k               thrpt        10   965367.372     2725.921    ops/s
c.g.a.r.DefaultRTree.M128.searchNearestGreek            thrpt        10    10972.080       28.389    ops/s
c.g.a.r.DefaultRTree.M128.searchOne1k                   thrpt        10  1923453.913     3607.425    ops/s
c.g.a.r.DefaultRTree.M128.searchOneBackpressure1k       thrpt        10   246653.342     2078.242    ops/s
c.g.a.r.DefaultRTree.M128.searchOneBackpressureGreek    thrpt        10    37242.265      372.977    ops/s
c.g.a.r.DefaultRTree.M128.searchOneGreek                thrpt        10   223712.055     1099.848    ops/s
c.g.a.r.DefaultRTree.M32.createIndex1k                  thrpt        10      588.650        2.088    ops/s
c.g.a.r.DefaultRTree.M32.createIndexGreek               thrpt        10        9.958        0.021    ops/s
c.g.a.r.DefaultRTree.M32.deleteBatch1k                  thrpt        10      960.647        1.698    ops/s
c.g.a.r.DefaultRTree.M32.deleteBatchGreek               thrpt        10        9.207        0.058    ops/s
c.g.a.r.DefaultRTree.M32.deleteOne1k                    thrpt        10   967473.355     3089.304    ops/s
c.g.a.r.DefaultRTree.M32.deleteOneGreek                 thrpt        10   217247.062     1035.957    ops/s
c.g.a.r.DefaultRTree.M32.insertBatch1k                  thrpt        10      608.647        2.043    ops/s
c.g.a.r.DefaultRTree.M32.insertBatchGreek               thrpt        10       12.768        0.134    ops/s
c.g.a.r.DefaultRTree.M32.insertOne1k                    thrpt        10   734019.113     1418.178    ops/s
c.g.a.r.DefaultRTree.M32.insertOneGreek                 thrpt        10   409966.527      994.959    ops/s
c.g.a.r.DefaultRTree.M32.searchNearest1k                thrpt        10  1040837.278     8538.843    ops/s
c.g.a.r.DefaultRTree.M32.searchNearestGreek             thrpt        10    11633.578       56.467    ops/s
c.g.a.r.DefaultRTree.M32.searchOne1k                    thrpt        10   649130.548     1702.147    ops/s
c.g.a.r.DefaultRTree.M32.searchOneBackpressure1k        thrpt        10   172016.868     1555.665    ops/s
c.g.a.r.DefaultRTree.M32.searchOneBackpressureGreek     thrpt        10   104897.005     1180.470    ops/s
c.g.a.r.DefaultRTree.M32.searchOneGreek                 thrpt        10   528044.100      756.541    ops/s
c.g.a.r.DefaultRTree.M4.createIndex1k                   thrpt        10      742.747        1.437    ops/s
c.g.a.r.DefaultRTree.M4.createIndexGreek                thrpt        10       14.867        0.333    ops/s
c.g.a.r.DefaultRTree.M4.deleteBatch1k                   thrpt        10      864.280        5.060    ops/s
c.g.a.r.DefaultRTree.M4.deleteBatchGreek                thrpt        10       10.667        0.041    ops/s
c.g.a.r.DefaultRTree.M4.deleteOne1k                     thrpt        10   427749.255     3503.979    ops/s
c.g.a.r.DefaultRTree.M4.deleteOneGreek                  thrpt        10   388105.477     2989.840    ops/s
